sector_id,date,ts,open,high,low,close,volume
NIFTY_50,2025-06-09,2025-06-09 00:00:00+05:30,25160.099609375,25160.099609375,25077.150390625,25103.19921875,279200
NIFTY_50,2025-06-10,2025-06-10 00:00:00+05:30,25196.05078125,25199.30078125,25055.44921875,25104.25,307300
NIFTY_50,2025-06-11,2025-06-11 00:00:00+05:30,25134.150390625,25222.400390625,25081.30078125,25141.400390625,301200
NIFTY_50,2025-06-12,2025-06-12 00:00:00+05:30,25164.44921875,25196.19921875,24825.900390625,24888.19921875,328300
NIFTY_50,2025-06-13,2025-06-13 00:00:00+05:30,24473.0,24754.349609375,24473.0,24718.599609375,318700
NIFTY_50,2025-06-16,2025-06-16 00:00:00+05:30,24732.349609375,24967.099609375,24703.599609375,24946.5,305800
NIFTY_50,2025-06-17,2025-06-17 00:00:00+05:30,24977.849609375,24982.05078125,24813.69921875,24853.400390625,242400
NIFTY_50,2025-06-18,2025-06-18 00:00:00+05:30,24788.349609375,24947.55078125,24750.44921875,24812.05078125,237600
NIFTY_50,2025-06-19,2025-06-19 00:00:00+05:30,24803.25,24863.099609375,24733.400390625,24793.25,274600
NIFTY_50,2025-06-20,2025-06-20 00:00:00+05:30,24787.650390625,25136.19921875,24783.650390625,25112.400390625,574700
NIFTY_50,2025-06-23,2025-06-23 00:00:00+05:30,24939.75,25057.0,24824.849609375,24971.900390625,248500
NIFTY_50,2025-06-24,2025-06-24 00:00:00+05:30,25179.900390625,25317.69921875,24999.69921875,25044.349609375,450200
NIFTY_50,2025-06-25,2025-06-25 00:00:00+05:30,25150.349609375,25266.80078125,25125.05078125,25244.75,260600
NIFTY_50,2025-06-26,2025-06-26 00:00:00+05:30,25268.94921875,25565.30078125,25259.900390625,25549.0,428900
NIFTY_50,2025-06-27,2025-06-27 00:00:00+05:30,25576.650390625,25654.19921875,25523.55078125,25637.80078125,564000
NIFTY_50,2025-06-30,2025-06-30 00:00:00+05:30,25661.650390625,25669.349609375,25473.30078125,25517.05078125,271000
NIFTY_50,2025-07-01,2025-07-01 00:00:00+05:30,25551.349609375,25593.400390625,25501.80078125,25541.80078125,260700
NIFTY_50,2025-07-02,2025-07-02 00:00:00+05:30,25588.30078125,25608.099609375,25378.75,25453.400390625,309800
NIFTY_50,2025-07-03,2025-07-03 00:00:00+05:30,25505.099609375,25587.5,25384.349609375,25405.30078125,293400
NIFTY_50,2025-07-04,2025-07-04 00:00:00+05:30,25428.849609375,25470.25,25331.650390625,25461.0,193500
NIFTY_50,2025-07-07,2025-07-07 00:00:00+05:30,25450.44921875,25489.80078125,25407.25,25461.30078125,196100
NIFTY_50,2025-07-08,2025-07-08 00:00:00+05:30,25427.849609375,25548.05078125,25424.150390625,25522.5,210400
NIFTY_50,2025-07-09,2025-07-09 00:00:00+05:30,25514.599609375,25548.69921875,25424.349609375,25476.099609375,239100
NIFTY_50,2025-07-10,2025-07-10 00:00:00+05:30,25511.650390625,25524.05078125,25340.44921875,25355.25,219600
NIFTY_50,2025-07-11,2025-07-11 00:00:00+05:30,25255.5,25322.44921875,25129.0,25149.849609375,250000
NIFTY_50,2025-07-14,2025-07-14 00:00:00+05:30,25149.5,25151.099609375,25001.94921875,25082.30078125,259500
NIFTY_50,2025-07-15,2025-07-15 00:00:00+05:30,25089.5,25245.19921875,25088.44921875,25195.80078125,241300
NIFTY_50,2025-07-16,2025-07-16 00:00:00+05:30,25196.599609375,25255.30078125,25121.05078125,25212.05078125,228800
NIFTY_50,2025-07-17,2025-07-17 00:00:00+05:30,25230.75,25238.349609375,25101.0,25111.44921875,243400
NIFTY_50,2025-07-18,2025-07-18 00:00:00+05:30,25108.55078125,25144.599609375,24918.650390625,24968.400390625,317000
NIFTY_50,2025-07-21,2025-07-21 00:00:00+05:30,24999.0,25111.400390625,24882.30078125,25090.69921875,305200
NIFTY_50,2025-07-22,2025-07-22 00:00:00+05:30,25166.650390625,25182.0,25035.55078125,25060.900390625,483700
NIFTY_50,2025-07-23,2025-07-23 00:00:00+05:30,25139.349609375,25233.5,25085.5,25219.900390625,271500
NIFTY_50,2025-07-24,2025-07-24 00:00:00+05:30,25243.30078125,25246.25,25018.69921875,25062.099609375,338700
NIFTY_50,2025-07-25,2025-07-25 00:00:00+05:30,25010.349609375,25010.349609375,24806.349609375,24837.0,278100
NIFTY_50,2025-07-28,2025-07-28 00:00:00+05:30,24782.44921875,24889.19921875,24646.599609375,24680.900390625,262100
NIFTY_50,2025-07-29,2025-07-29 00:00:00+05:30,24609.650390625,24847.150390625,24598.599609375,24821.099609375,284700
NIFTY_50,2025-07-30,2025-07-30 00:00:00+05:30,24890.400390625,24902.30078125,24771.94921875,24855.05078125,243900
NIFTY_50,2025-07-31,2025-07-31 00:00:00+05:30,24642.25,24956.5,24635.0,24768.349609375,346300
NIFTY_50,2025-08-01,2025-08-01 00:00:00+05:30,24734.900390625,24784.150390625,24535.05078125,24565.349609375,263400
NIFTY_50,2025-08-04,2025-08-04 00:00:00+05:30,24596.05078125,24736.25,24554.0,24722.75,259300
NIFTY_50,2025-08-05,2025-08-05 00:00:00+05:30,24720.25,24733.099609375,24590.30078125,24649.55078125,251800
NIFTY_50,2025-08-06,2025-08-06 00:00:00+05:30,24641.349609375,24671.400390625,24539.19921875,24574.19921875,225100
NIFTY_50,2025-08-07,2025-08-07 00:00:00+05:30,24464.19921875,24634.19921875,24344.150390625,24596.150390625,616700
NIFTY_50,2025-08-08,2025-08-08 00:00:00+05:30,24544.25,24585.5,24337.5,24363.30078125,312600
