sector_id,date,open,high,low,close,volume
NIFTY_BANK,2025-11-17,45000,45200,44800,45150,10000000
NIFTY_BANK,2025-11-18,45150,45400,45000,45300,11000000
NIFTY_BANK,2025-11-19,45300,45500,45100,45450,10500000
NIFTY_BANK,2025-11-20,45450,45700,45300,45600,12000000
NIFTY_BANK,2025-11-21,45600,45800,45400,45750,11500000
NIFTY_BANK,2025-11-24,45750,46000,45600,45900,13000000
NIFTY_BANK,2025-11-25,45900,46100,45700,46000,12500000
NIFTY_BANK,2025-11-26,46000,46200,45800,46100,12800000
NIFTY_BANK,2025-11-27,46100,46300,45900,46200,13200000
NIFTY_BANK,2025-11-28,46200,46400,46000,46300,13500000
NIFTY_IT,2025-11-17,31000,31200,30800,31100,8000000
NIFTY_IT,2025-11-18,31100,31300,30950,31250,8200000
NIFTY_IT,2025-11-19,31250,31400,31000,31300,8100000
NIFTY_IT,2025-11-20,31300,31500,31100,31400,8500000
NIFTY_IT,2025-11-21,31400,31600,31200,31500,8400000
NIFTY_IT,2025-11-24,31500,31700,31300,31600,8600000
NIFTY_IT,2025-11-25,31600,31800,31400,31700,8700000
NIFTY_IT,2025-11-26,31700,31900,31500,31800,8800000
NIFTY_IT,2025-11-27,31800,32000,31600,31900,8900000
NIFTY_IT,2025-11-28,31900,32100,31700,32000,9000000
NIFTY_FMCG,2025-11-17,52000,52200,51800,52100,5000000
NIFTY_FMCG,2025-11-18,52100,52300,51900,52200,5100000
NIFTY_FMCG,2025-11-19,52200,52400,52000,52300,5200000
NIFTY_FMCG,2025-11-20,52300,52500,52100,52400,5300000
NIFTY_FMCG,2025-11-21,52400,52600,52200,52500,5400000
NIFTY_FMCG,2025-11-24,52500,52700,52300,52600,5500000
NIFTY_FMCG,2025-11-25,52600,52800,52400,52700,5600000
NIFTY_FMCG,2025-11-26,52700,52900,52500,52800,5700000
NIFTY_FMCG,2025-11-27,52800,53000,52600,52900,5800000
NIFTY_FMCG,2025-11-28,52900,53100,52700,53000,5900000
NIFTY_PHARMA,2025-11-17,18500,18700,18300,18600,4000000
NIFTY_PHARMA,2025-11-18,18600,18800,18400,18700,4100000
NIFTY_PHARMA,2025-11-19,18700,18900,18500,18800,4200000
NIFTY_PHARMA,2025-11-20,18800,19000,18600,18900,4300000
NIFTY_PHARMA,2025-11-21,18900,19100,18700,19000,4400000
NIFTY_PHARMA,2025-11-24,19000,19200,18800,19100,4500000
NIFTY_PHARMA,2025-11-25,19100,19300,18900,19200,4600000
NIFTY_PHARMA,2025-11-26,19200,19400,19000,19300,4700000
NIFTY_PHARMA,2025-11-27,19300,19500,19100,19400,4800000
NIFTY_PHARMA,2025-11-28,19400,19600,19200,19500,4900000
NIFTY_AUTO,2025-11-17,19500,19700,19300,19600,6000000
NIFTY_AUTO,2025-11-18,19600,19800,19400,19700,6100000
NIFTY_AUTO,2025-11-19,19700,19900,19500,19800,6200000
NIFTY_AUTO,2025-11-20,19800,20000,19600,19900,6300000
NIFTY_AUTO,2025-11-21,19900,20100,19700,20000,6400000
NIFTY_AUTO,2025-11-24,20000,20200,19800,20100,6500000
NIFTY_AUTO,2025-11-25,20100,20300,19900,20200,6600000
NIFTY_AUTO,2025-11-26,20200,20400,20000,20300,6700000
NIFTY_AUTO,2025-11-27,20300,20500,20100,20400,6800000
NIFTY_AUTO,2025-11-28,20400,20600,20200,20500,6900000

